cross,fert,dir,night
U32-U16,54.6875,ova,night 2
U32-U16,52.05479452,ova,night 2
U32-U16,55.29411765,ova,night 2
U32-U4,36.47058824,ova,night 2
U32-U4,46.42857143,ova,night 2
U32-U4,55.55555556,ova,night 2
U12-U24,92.30769231,sperm,night 2
U12-U24,57.44680851,sperm,night 2
U12-U24,89.13043478,sperm,night 2
U12-U94,80,sperm,night 2
U12-U94,95,sperm,night 2
U12-U94,90.32258065,sperm,night 2
U12-M13,97.91666667,sperm,night 2
U12-M13,97.77777778,sperm,night 2
U12-M13,97.43589744,sperm,night 2
U12-U50,80,sperm,night 2
U12-U50,77.27272727,sperm,night 2
U12-U50,74.54545455,sperm,night 2
U12-U32,60.97560976,sperm,night 2
U12-U32,81.69014085,sperm,night 2
U12-U32,65.27777778,sperm,night 2
U12-U12,18.05555556,sperm,night 2
U12-U12,12.5,sperm,night 2
U12-U12,17.1875,sperm,night 2
U12-U16,75,sperm,night 2
U12-U16,88.57142857,sperm,night 2
U12-U16,90,sperm,night 2
U12-U4,3.278688525,sperm,night 2
U12-U4,3.50877193,sperm,night 2
U12-U4,11.76470588,sperm,night 2
U12-U24,44.61538462,ova,night 2
U12-U24,36.61971831,ova,night 2
U12-U24,31.25,ova,night 2
U12-U94,12.72727273,ova,night 2
U12-U94,16.92307692,ova,night 2
U12-U94,28.33333333,ova,night 2
U12-M13,48.38709677,ova,night 2
U12-M13,52.85714286,ova,night 2
U12-M13,43.24324324,ova,night 2
U12-U50,12.85714286,ova,night 2
U12-U50,24.35897436,ova,night 2
U12-U50,19.40298507,ova,night 2
U12-U32,77.14285714,ova,night 2
U12-U32,71.21212121,ova,night 2
U12-U32,61.29032258,ova,night 2
U12-U16,55.29411765,ova,night 2
U12-U16,37.5,ova,night 2
U12-U16,33.78378378,ova,night 2
U12-U4,7.042253521,ova,night 2
U12-U4,7.246376812,ova,night 2
U12-U4,7.462686567,ova,night 2
U16-U24,81.69014085,sperm,night 2
U16-U24,84.74576271,sperm,night 2
U16-U24,82,sperm,night 2
U16-U94,70.45454545,sperm,night 2
U16-U94,80.35714286,sperm,night 2
U16-U94,80,sperm,night 2
U16-M13,74.07407407,sperm,night 2
U16-M13,86.66666667,sperm,night 2
U16-M13,53.22580645,sperm,night 2
U16-U50,76.92307692,sperm,night 2
U16-U50,49.27536232,sperm,night 2
U16-U50,80.39215686,sperm,night 2
U16-U32,54.6875,sperm,night 2
U16-U32,52.05479452,sperm,night 2
U16-U32,55.29411765,sperm,night 2
U16-U12,37.5,sperm,night 2
U16-U12,33.78378378,sperm,night 2
U16-U12,50.87719298,sperm,night 2
U16-U16,3.03030303,sperm,night 2
U16-U16,0,sperm,night 2
U16-U16,0,sperm,night 2
U16-U4,84,sperm,night 2
U16-U4,77.27272727,sperm,night 2
U16-U4,81.03448276,sperm,night 2
U16-U24,63.93442623,ova,night 2
U16-U24,81.08108108,ova,night 2
U16-U24,89.18918919,ova,night 2
U16-U94,61.53846154,ova,night 2
U16-U94,68.18181818,ova,night 2
U16-U94,69.23076923,ova,night 2
U16-M13,78.26086957,ova,night 2
U16-M13,81.37254902,ova,night 2
U16-M13,78.57142857,ova,night 2
U16-U50,28.57142857,ova,night 2
U16-U50,55.10204082,ova,night 2
U16-U50,38.29787234,ova,night 2
U16-U32,88.0952381,ova,night 2
U16-U32,88.37209302,ova,night 2
U16-U32,91.17647059,ova,night 2
U16-U12,75,ova,night 2
U16-U12,88.57142857,ova,night 2
U16-U12,90,ova,night 2
U16-U4,41.81818182,ova,night 2
U16-U4,47.36842105,ova,night 2
U16-U4,55.55555556,ova,night 2
U4-U24,30,sperm,night 2
U4-U24,24.56140351,sperm,night 2
U4-U24,50,sperm,night 2
U4-U94,36.17021277,sperm,night 2
U4-U94,81.13207547,sperm,night 2
U4-U94,68.51851852,sperm,night 2
U4-M13,86,sperm,night 2
U4-M13,84.21052632,sperm,night 2
U4-M13,86.66666667,sperm,night 2
U4-U50,82.14285714,sperm,night 2
U4-U50,61.2244898,sperm,night 2
U4-U50,86.20689655,sperm,night 2
U4-U32,36.47058824,sperm,night 2
U4-U32,46.42857143,sperm,night 2
U4-U32,55.55555556,sperm,night 2
U4-U12,7.042253521,sperm,night 2
U4-U12,7.246376812,sperm,night 2
U4-U12,7.462686567,sperm,night 2
U4-U16,41.81818182,sperm,night 2
U4-U16,47.36842105,sperm,night 2
U4-U16,55.55555556,sperm,night 2
U4-U24,41.26984127,ova,night 2
U4-U24,70.76923077,ova,night 2
U4-U24,50.87719298,ova,night 2
U4-U94,78.57142857,ova,night 2
U4-U94,89.79591837,ova,night 2
U4-U94,85,ova,night 2
U4-M13,73.91304348,ova,night 2
U4-M13,84.09090909,ova,night 2
U4-M13,66.66666667,ova,night 2
U4-U50,47.61904762,ova,night 2
U4-U50,38.29787234,ova,night 2
U4-U50,42.10526316,ova,night 2
U4-U32,86.20689655,ova,night 2
U4-U32,75.38461538,ova,night 2
U4-U32,64.1509434,ova,night 2
U4-U12,3.278688525,ova,night 2
U4-U12,3.50877193,ova,night 2
U4-U12,11.76470588,ova,night 2
U4-U16,84,ova,night 2
U4-U16,77.27272727,ova,night 2
U4-U16,81.03448276,ova,night 2
