cross,fert,dir,genet,night
M13-U12,43.24324324,sperm,M13,Night 2
M13-U16,78.26086957,sperm,M13,Night 2
M13-U16,81.37254902,sperm,M13,Night 2
M13-U16,78.57142857,sperm,M13,Night 2
M13-U4,73.91304348,sperm,M13,Night 2
M13-U4,84.09090909,sperm,M13,Night 2
M13-U4,66.66666667,sperm,M13,Night 2
U50-U50,0,self,U50,Night 2
U50-U50,3.703703704,self,U50,Night 2
U50-U50,1.5625,self,U50,Night 2
U50-U24,80.55555556,sperm,U50,Night 2
U50-U24,42.55319149,sperm,U50,Night 2
U50-U24,49.23076923,sperm,U50,Night 2
U50-U94,25.80645161,sperm,U50,Night 2
U50-U94,15.625,sperm,U50,Night 2
U50-U94,35.82089552,sperm,U50,Night 2
U50-M13,68.75,sperm,U50,Night 2
U50-M13,63.15789474,sperm,U50,Night 2
U50-M13,64.40677966,sperm,U50,Night 2
U50-U32,35.61643836,sperm,U50,Night 2
U50-U32,50.56179775,sperm,U50,Night 2
U50-U32,29.50819672,sperm,U50,Night 2
U50-U12,12.85714286,sperm,U50,Night 2
U50-U12,24.35897436,sperm,U50,Night 2
U50-U12,19.40298507,sperm,U50,Night 2
U50-U16,28.57142857,sperm,U50,Night 2
U50-U16,55.10204082,sperm,U50,Night 2
U50-U16,38.29787234,sperm,U50,Night 2
U50-U4,47.61904762,sperm,U50,Night 2
U50-U4,38.29787234,sperm,U50,Night 2
U50-U4,42.10526316,sperm,U50,Night 2
U32-U32,0,self,U32,Night 2
U32-U32,0,self,U32,Night 2
U32-U32,0,self,U32,Night 2
U32-U24,87.09677419,sperm,U32,Night 2
U32-U24,91.37931034,sperm,U32,Night 2
U32-U24,86.95652174,sperm,U32,Night 2
U32-U94,0,sperm,U32,Night 2
U32-U94,6.329113924,sperm,U32,Night 2
U32-U94,4.347826087,sperm,U32,Night 2
U32-M13,100,sperm,U32,Night 2
U32-M13,100,sperm,U32,Night 2
U32-M13,97.43589744,sperm,U32,Night 2
U32-U50,88.46153846,sperm,U32,Night 2
U32-U50,77.55102041,sperm,U32,Night 2
U32-U50,80,sperm,U32,Night 2
U32-U12,77.14285714,sperm,U32,Night 2
U32-U12,71.21212121,sperm,U32,Night 2
U32-U12,61.29032258,sperm,U32,Night 2
U32-U16,88.0952381,sperm,U32,Night 2
U32-U16,88.37209302,sperm,U32,Night 2
U32-U16,91.17647059,sperm,U32,Night 2
U32-U4,86.20689655,sperm,U32,Night 2
U32-U4,75.38461538,sperm,U32,Night 2
U32-U4,64.1509434,sperm,U32,Night 2
U12-U12,18.05555556,self,U12,Night 2
U12-U12,12.5,self,U12,Night 2
U12-U12,17.1875,self,U12,Night 2
U12-U24,92.30769231,sperm,U12,Night 2
U12-U24,57.44680851,sperm,U12,Night 2
U12-U24,89.13043478,sperm,U12,Night 2
U12-U94,80,sperm,U12,Night 2
U12-U94,95,sperm,U12,Night 2
U12-U94,90.32258065,sperm,U12,Night 2
U12-M13,97.91666667,sperm,U12,Night 2
U12-M13,97.77777778,sperm,U12,Night 2
U12-M13,97.43589744,sperm,U12,Night 2
U12-U50,80,sperm,U12,Night 2
U12-U50,77.27272727,sperm,U12,Night 2
U12-U50,74.54545455,sperm,U12,Night 2
U12-U32,60.97560976,sperm,U12,Night 2
U12-U32,81.69014085,sperm,U12,Night 2
U12-U32,65.27777778,sperm,U12,Night 2
U12-U16,75,sperm,U12,Night 2
U12-U16,88.57142857,sperm,U12,Night 2
U12-U16,90,sperm,U12,Night 2
U12-U4,3.278688525,sperm,U12,Night 2
U12-U4,3.50877193,sperm,U12,Night 2
U12-U4,11.76470588,sperm,U12,Night 2
U16-U16,3.03030303,self,U16,Night 2
U16-U16,0,self,U16,Night 2
U16-U16,0,self,U16,Night 2
U16-U24,81.69014085,sperm,U16,Night 2
U16-U24,84.74576271,sperm,U16,Night 2
U16-U24,82,sperm,U16,Night 2
U16-U94,70.45454545,sperm,U16,Night 2
U16-U94,80.35714286,sperm,U16,Night 2
U16-U94,80,sperm,U16,Night 2
U16-M13,74.07407407,sperm,U16,Night 2
U16-M13,86.66666667,sperm,U16,Night 2
U16-M13,53.22580645,sperm,U16,Night 2
U16-U50,76.92307692,sperm,U16,Night 2
U16-U50,49.27536232,sperm,U16,Night 2
U16-U50,80.39215686,sperm,U16,Night 2
U16-U32,54.6875,sperm,U16,Night 2
U16-U32,52.05479452,sperm,U16,Night 2
U16-U32,55.29411765,sperm,U16,Night 2
U16-U12,37.5,sperm,U16,Night 2
U16-U12,33.78378378,sperm,U16,Night 2
U16-U12,50.87719298,sperm,U16,Night 2
U16-U4,84,sperm,U16,Night 2
U16-U4,77.27272727,sperm,U16,Night 2
U16-U4,81.03448276,sperm,U16,Night 2
U4-U4,2.43902439,self,U4,Night 2
U4-U4,1.886792453,self,U4,Night 2
U4-U4,0,self,U4,Night 2
U4-U24,30,sperm,U4,Night 2
U4-U24,24.56140351,sperm,U4,Night 2
U4-U24,50,sperm,U4,Night 2
U4-U94,36.17021277,sperm,U4,Night 2
U4-U94,81.13207547,sperm,U4,Night 2
U4-U94,68.51851852,sperm,U4,Night 2
U4-M13,86,sperm,U4,Night 2
U4-M13,84.21052632,sperm,U4,Night 2
U4-M13,86.66666667,sperm,U4,Night 2
U4-U50,82.14285714,sperm,U4,Night 2
U4-U50,61.2244898,sperm,U4,Night 2
U4-U50,86.20689655,sperm,U4,Night 2
U4-U32,36.47058824,sperm,U4,Night 2
U4-U32,46.42857143,sperm,U4,Night 2
U4-U32,55.55555556,sperm,U4,Night 2
U4-U12,7.042253521,sperm,U4,Night 2
U4-U12,7.246376812,sperm,U4,Night 2
U4-U12,7.462686567,sperm,U4,Night 2
U4-U16,41.81818182,sperm,U4,Night 2
U4-U16,47.36842105,sperm,U4,Night 2
U4-U16,55.55555556,sperm,U4,Night 2
