cross,fert,dir,genet
U50-U50,3.703703704,sperm,U50
U50-U50,1.5625,sperm,U50
U50-U32,35.61643836,sperm,U50
U50-U32,50.56179775,sperm,U50
U50-U32,29.50819672,sperm,U50
U50-U12,12.85714286,sperm,U50
U50-U12,24.35897436,sperm,U50
U50-U12,19.40298507,sperm,U50
U50-U16,28.57142857,sperm,U50
U50-U16,55.10204082,sperm,U50
U50-U16,38.29787234,sperm,U50
U50-U4,47.61904762,sperm,U50
U50-U4,38.29787234,sperm,U50
U50-U4,42.10526316,sperm,U50
U50-U24,66.66666667,ova,U50
U50-U24,78.57142857,ova,U50
U50-U24,70.58823529,ova,U50
U50-U94,86.66666667,ova,U50
U50-U94,79.66101695,ova,U50
U50-U94,69.35483871,ova,U50
U50-M13,83.33333333,ova,U50
U50-M13,78.08219178,ova,U50
U50-M13,86.2745098,ova,U50
U50-U32,88.46153846,ova,U50
U50-U32,77.55102041,ova,U50
U50-U32,80,ova,U50
U50-U12,80,ova,U50
U50-U12,77.27272727,ova,U50
U50-U12,74.54545455,ova,U50
U50-U16,76.92307692,ova,U50
U50-U16,49.27536232,ova,U50
U50-U16,80.39215686,ova,U50
U50-U4,82.14285714,ova,U50
U50-U4,61.2244898,ova,U50
U50-U4,86.20689655,ova,U50
U32-U24,87.09677419,sperm,U32
U32-U24,91.37931034,sperm,U32
U32-U24,86.95652174,sperm,U32
U32-U94,0,sperm,U32
U32-U94,6.329113924,sperm,U32
U32-U94,4.347826087,sperm,U32
U32-M13,100,sperm,U32
U32-M13,100,sperm,U32
U32-M13,97.43589744,sperm,U32
U32-U50,88.46153846,sperm,U32
U32-U50,77.55102041,sperm,U32
U32-U50,80,sperm,U32
U32-U32,0,sperm,U32
U32-U32,0,sperm,U32
U32-U32,0,sperm,U32
U32-U12,77.14285714,sperm,U32
U32-U12,71.21212121,sperm,U32
U32-U12,61.29032258,sperm,U32
U32-U16,88.0952381,sperm,U32
U32-U16,88.37209302,sperm,U32
U32-U16,91.17647059,sperm,U32
U32-U4,86.20689655,sperm,U32
U32-U4,75.38461538,sperm,U32
U32-U4,64.1509434,sperm,U32
U32-U24,55.73770492,ova,U32
U32-U24,62.5,ova,U32
U32-U24,70.90909091,ova,U32
U32-U94,7.594936709,ova,U32
U32-U94,1.639344262,ova,U32
U32-U94,4.6875,ova,U32
U32-M13,43.75,ova,U32
U32-M13,77.92207792,ova,U32
U32-M13,61.66666667,ova,U32
U32-U50,35.61643836,ova,U32
U32-U50,50.56179775,ova,U32
U32-U50,29.50819672,ova,U32
U32-U12,60.97560976,ova,U32
U32-U12,81.69014085,ova,U32
U32-U12,65.27777778,ova,U32
U32-U16,54.6875,ova,U32
U32-U16,52.05479452,ova,U32
U32-U16,55.29411765,ova,U32
U32-U4,36.47058824,ova,U32
U32-U4,46.42857143,ova,U32
U32-U4,55.55555556,ova,U32
U12-U24,92.30769231,sperm,U12
U12-U24,57.44680851,sperm,U12
U12-U24,89.13043478,sperm,U12
U12-U94,80,sperm,U12
U12-U94,95,sperm,U12
U12-U94,90.32258065,sperm,U12
U12-M13,97.91666667,sperm,U12
U12-M13,97.77777778,sperm,U12
U12-M13,97.43589744,sperm,U12
U12-U50,80,sperm,U12
U12-U50,77.27272727,sperm,U12
U12-U50,74.54545455,sperm,U12
U12-U32,60.97560976,sperm,U12
U12-U32,81.69014085,sperm,U12
U12-U32,65.27777778,sperm,U12
U12-U12,18.05555556,sperm,U12
U12-U12,12.5,sperm,U12
U12-U12,17.1875,sperm,U12
U12-U16,75,sperm,U12
U12-U16,88.57142857,sperm,U12
U12-U16,90,sperm,U12
U12-U4,3.278688525,sperm,U12
U12-U4,3.50877193,sperm,U12
U12-U4,11.76470588,sperm,U12
U12-U24,44.61538462,ova,U12
U12-U24,36.61971831,ova,U12
U12-U24,31.25,ova,U12
U12-U94,12.72727273,ova,U12
U12-U94,16.92307692,ova,U12
U12-U94,28.33333333,ova,U12
U12-M13,48.38709677,ova,U12
U12-M13,52.85714286,ova,U12
U12-M13,43.24324324,ova,U12
U12-U50,12.85714286,ova,U12
U12-U50,24.35897436,ova,U12
U12-U50,19.40298507,ova,U12
U12-U32,77.14285714,ova,U12
U12-U32,71.21212121,ova,U12
U12-U32,61.29032258,ova,U12
U12-U16,55.29411765,ova,U12
U12-U16,37.5,ova,U12
U12-U16,33.78378378,ova,U12
U12-U4,7.042253521,ova,U12
U12-U4,7.246376812,ova,U12
U12-U4,7.462686567,ova,U12
U16-U24,81.69014085,sperm,U16
U16-U24,84.74576271,sperm,U16
U16-U24,82,sperm,U16
U16-U94,70.45454545,sperm,U16
U16-U94,80.35714286,sperm,U16
U16-U94,80,sperm,U16
U16-M13,74.07407407,sperm,U16
U16-M13,86.66666667,sperm,U16
U16-M13,53.22580645,sperm,U16
U16-U50,76.92307692,sperm,U16
U16-U50,49.27536232,sperm,U16
U16-U50,80.39215686,sperm,U16
U16-U32,54.6875,sperm,U16
U16-U32,52.05479452,sperm,U16
U16-U32,55.29411765,sperm,U16
U16-U12,37.5,sperm,U16
U16-U12,33.78378378,sperm,U16
U16-U12,50.87719298,sperm,U16
U16-U16,3.03030303,sperm,U16
U16-U16,0,sperm,U16
U16-U16,0,sperm,U16
U16-U4,84,sperm,U16
U16-U4,77.27272727,sperm,U16
U16-U4,81.03448276,sperm,U16
U16-U24,63.93442623,ova,U16
U16-U24,81.08108108,ova,U16
U16-U24,89.18918919,ova,U16
U16-U94,61.53846154,ova,U16
U16-U94,68.18181818,ova,U16
U16-U94,69.23076923,ova,U16
U16-M13,78.26086957,ova,U16
U16-M13,81.37254902,ova,U16
U16-M13,78.57142857,ova,U16
U16-U50,28.57142857,ova,U16
U16-U50,55.10204082,ova,U16
U16-U50,38.29787234,ova,U16
U16-U32,88.0952381,ova,U16
U16-U32,88.37209302,ova,U16
U16-U32,91.17647059,ova,U16
U16-U12,75,ova,U16
U16-U12,88.57142857,ova,U16
U16-U12,90,ova,U16
